epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.762,1.34761,0.98859,1.21849,0.92447,0.86428,0.91215,0.57353,1.28798,0.83738,1.20895,0.0676987,0.000999009,0.000999009
2,348.704,1.31486,0.8106,1.19286,0.89391,0.89385,0.88432,0.54511,1.31576,0.87584,1.20849,0.0353258,0.00195943,0.00195943
3,517.324,1.2824,0.76768,1.18268,0.95986,0.8715,0.93936,0.61467,1.24645,0.70988,1.17157,0.00291328,0.00288025,0.00288025
4,684.784,1.25188,0.71817,1.15814,0.95029,0.91298,0.93997,0.62076,1.22745,0.65452,1.16919,0.0028218,0.0028218,0.0028218
1,142.846,1.47624,1.58181,1.49162,0.53988,0.58588,0.59023,0.36328,1.41315,1.57102,1.47403,0.0677033,0.000998867,0.000998867
1,231.296,1.31783,1.00324,1.20632,0.92077,0.86287,0.91418,0.5769,1.27816,1.04324,1.21229,0.0677398,0.000997738,0.000997738
2,440.519,1.29635,0.78912,1.18867,0.9371,0.90954,0.93128,0.56364,1.28264,0.71303,1.2026,0.0353669,0.00195818,0.00195818
3,648.866,1.26975,0.74808,1.16338,0.94167,0.91162,0.94301,0.59114,1.24419,0.71736,1.16598,0.00295444,0.00287903,0.00287903
4,856.579,1.2409,0.70643,1.14604,0.92834,0.91435,0.94036,0.5981,1.2072,0.71557,1.15085,0.0028218,0.0028218,0.0028218
5,1061.17,1.20398,0.66339,1.12293,0.91621,0.9262,0.94389,0.62006,1.21034,0.6735,1.15138,0.0027624,0.0027624,0.0027624
6,1269.42,1.18755,0.63984,1.11074,0.96737,0.91834,0.95644,0.63273,1.20531,0.60128,1.13558,0.002703,0.002703,0.002703
7,1476.47,1.17998,0.6161,1.1031,0.96339,0.92483,0.95918,0.64948,1.17515,0.55833,1.10512,0.0026436,0.0026436,0.0026436
8,1681.46,1.16578,0.61122,1.097,0.96839,0.92301,0.95904,0.64225,1.18935,0.56847,1.11031,0.0025842,0.0025842,0.0025842
9,1889.29,1.16867,0.60879,1.10094,0.96829,0.9321,0.96199,0.65867,1.1636,0.55753,1.10607,0.0025248,0.0025248,0.0025248
10,2100.66,1.15742,0.595,1.0932,0.97642,0.92422,0.96175,0.66362,1.1577,0.52069,1.08321,0.0024654,0.0024654,0.0024654
11,2306.49,1.14328,0.57685,1.08082,0.97092,0.92483,0.95926,0.65942,1.13894,0.52559,1.07941,0.002406,0.002406,0.002406
12,2512.33,1.13967,0.5751,1.08061,0.96839,0.93075,0.95945,0.66712,1.12316,0.52124,1.08694,0.0023466,0.0023466,0.0023466
13,2717.79,1.1417,0.5678,1.08496,0.97701,0.92893,0.96454,0.66226,1.14386,0.51746,1.07682,0.0022872,0.0022872,0.0022872
14,2924.93,1.12641,0.55973,1.07393,0.97344,0.93499,0.9597,0.66707,1.11483,0.51911,1.06834,0.0022278,0.0022278,0.0022278
15,3135.79,1.12541,0.55939,1.07931,0.97191,0.93121,0.96009,0.66624,1.12866,0.49809,1.0737,0.0021684,0.0021684,0.0021684
16,3344.14,1.11522,0.54676,1.06706,0.97468,0.93349,0.96347,0.6685,1.12716,0.50147,1.0717,0.002109,0.002109,0.002109
17,3550.21,1.1046,0.53095,1.06289,0.97599,0.93531,0.96693,0.67287,1.13736,0.47666,1.06627,0.0020496,0.0020496,0.0020496
18,3756.44,1.10836,0.53877,1.06413,0.97892,0.9307,0.96491,0.67958,1.12549,0.4971,1.0693,0.0019902,0.0019902,0.0019902
19,3965.84,1.10677,0.53266,1.05916,0.97861,0.93212,0.96767,0.6908,1.10076,0.47877,1.05296,0.0019308,0.0019308,0.0019308
20,4171.58,1.09056,0.52343,1.055,0.98234,0.93394,0.96561,0.68478,1.11036,0.47015,1.0628,0.0018714,0.0018714,0.0018714
21,4378.81,1.09142,0.52018,1.05661,0.9713,0.9426,0.96781,0.68135,1.11049,0.46806,1.05943,0.001812,0.001812,0.001812
22,4585.54,1.09088,0.51483,1.05281,0.98286,0.93667,0.96889,0.68883,1.10379,0.46624,1.05477,0.0017526,0.0017526,0.0017526
23,4792.56,1.08335,0.51397,1.04961,0.98609,0.93759,0.96684,0.68319,1.10134,0.47032,1.05654,0.0016932,0.0016932,0.0016932
24,5000.03,1.0735,0.50797,1.04617,0.98378,0.93986,0.96808,0.68698,1.09999,0.46651,1.05017,0.0016338,0.0016338,0.0016338
