epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.93,1.28043,0.97982,1.16622,0.92419,0.85285,0.91114,0.57614,1.28123,0.92017,1.18389,0.0670747,0.000332579,0.000332579
2,439.654,1.23529,0.73601,1.12143,0.96286,0.90948,0.94741,0.60353,1.24848,0.69258,1.16285,0.0340615,0.000652727,0.000652727
3,655.427,1.21517,0.69579,1.11245,0.95198,0.91481,0.94664,0.6324,1.16637,0.64906,1.09676,0.00103509,0.000959676,0.000959676
4,871.645,1.19787,0.6576,1.10286,0.9637,0.91913,0.9544,0.63137,1.22336,0.59833,1.11566,0.0009406,0.0009406,0.0009406
5,1084.37,1.16548,0.62369,1.08341,0.96032,0.92617,0.95558,0.63482,1.1932,0.58387,1.1117,0.0009208,0.0009208,0.0009208
6,1287.71,1.15552,0.60052,1.07831,0.97735,0.92374,0.96025,0.65377,1.14925,0.56213,1.08684,0.000901,0.000901,0.000901
7,1502.7,1.14693,0.58756,1.07312,0.96188,0.91976,0.96057,0.6603,1.15873,0.53106,1.07479,0.0008812,0.0008812,0.0008812
8,1713.92,1.1334,0.57725,1.06931,0.98445,0.92312,0.96283,0.66458,1.13659,0.52793,1.06885,0.0008614,0.0008614,0.0008614
9,1928.91,1.13545,0.58261,1.0675,0.97772,0.92711,0.96591,0.66573,1.13781,0.52089,1.0738,0.0008416,0.0008416,0.0008416
10,2137.66,1.12446,0.55552,1.05871,0.97806,0.93432,0.96437,0.67533,1.13759,0.50163,1.06459,0.0008218,0.0008218,0.0008218
11,2343.22,1.11762,0.54885,1.05279,0.98027,0.92824,0.96538,0.67194,1.12229,0.50586,1.06135,0.000802,0.000802,0.000802
12,2549.56,1.11133,0.54094,1.05204,0.97528,0.93477,0.96604,0.67958,1.10594,0.50171,1.0538,0.0007822,0.0007822,0.0007822
13,2755.23,1.1129,0.53608,1.05515,0.9804,0.93667,0.9707,0.67631,1.13864,0.48501,1.07042,0.0007624,0.0007624,0.0007624
14,2959.51,1.09363,0.52428,1.04718,0.9605,0.93048,0.95355,0.66605,1.10962,0.49519,1.0564,0.0007426,0.0007426,0.0007426
15,3167.22,1.09962,0.52929,1.05308,0.97394,0.9363,0.9665,0.68355,1.10308,0.48009,1.04882,0.0007228,0.0007228,0.0007228
16,3372.77,1.07921,0.5107,1.03916,0.97645,0.94351,0.97085,0.68601,1.09389,0.47246,1.04289,0.000703,0.000703,0.000703
17,3582.75,1.07602,0.50698,1.03888,0.97362,0.94168,0.96889,0.67444,1.10957,0.47782,1.04712,0.0006832,0.0006832,0.0006832
18,3789.89,1.07483,0.50656,1.04158,0.97963,0.93303,0.97097,0.68581,1.11476,0.47118,1.05421,0.0006634,0.0006634,0.0006634
19,3997.53,1.08398,0.50512,1.04207,0.98308,0.93622,0.96943,0.69092,1.10097,0.45172,1.04735,0.0006436,0.0006436,0.0006436
20,4203.45,1.06298,0.4892,1.03681,0.98405,0.93349,0.97059,0.68804,1.09303,0.45986,1.04677,0.0006238,0.0006238,0.0006238
21,4413.78,1.0638,0.49154,1.03658,0.98197,0.94077,0.96992,0.68597,1.1044,0.4487,1.04464,0.000604,0.000604,0.000604
22,4621.52,1.06346,0.48758,1.03189,0.9774,0.93895,0.96865,0.69105,1.10425,0.45226,1.03983,0.0005842,0.0005842,0.0005842
23,4831.21,1.05572,0.4875,1.0275,0.98464,0.93467,0.96869,0.68735,1.09173,0.44467,1.04063,0.0005644,0.0005644,0.0005644
24,5122.78,1.04565,0.47711,1.02657,0.9861,0.93737,0.97264,0.69187,1.09204,0.44268,1.04148,0.0005446,0.0005446,0.0005446
25,5422.31,1.04827,0.47582,1.02911,0.97747,0.93667,0.96711,0.68874,1.10415,0.44044,1.03952,0.0005248,0.0005248,0.0005248
26,5764.59,1.04567,0.47377,1.02832,0.98422,0.93792,0.97103,0.69797,1.08375,0.44293,1.03769,0.000505,0.000505,0.000505
27,5968.28,1.03628,0.4678,1.02342,0.98189,0.9387,0.96874,0.69504,1.09067,0.43699,1.03476,0.0004852,0.0004852,0.0004852
28,6171.62,1.04107,0.46786,1.02128,0.98245,0.94359,0.972,0.69658,1.08697,0.43204,1.03795,0.0004654,0.0004654,0.0004654
29,6375.5,1.02639,0.4577,1.02064,0.97564,0.94989,0.97377,0.70075,1.08384,0.42896,1.03509,0.0004456,0.0004456,0.0004456
30,6578.06,1.02977,0.46267,1.02148,0.97672,0.9467,0.97069,0.70194,1.07471,0.42596,1.02747,0.0004258,0.0004258,0.0004258
31,6780.93,1.00829,0.44828,1.0087,0.97991,0.94214,0.97198,0.70779,1.07466,0.41938,1.0254,0.000406,0.000406,0.000406
32,6982.82,1.01082,0.44988,1.00918,0.98515,0.93669,0.97101,0.70674,1.06847,0.42183,1.02719,0.0003862,0.0003862,0.0003862
33,7190.68,1.01689,0.44986,1.01414,0.9784,0.9467,0.9705,0.69675,1.08873,0.41999,1.03474,0.0003664,0.0003664,0.0003664
34,7406.97,1.00552,0.44271,1.01199,0.98678,0.93804,0.97125,0.69968,1.0795,0.41453,1.03179,0.0003466,0.0003466,0.0003466
35,7615.71,1.00507,0.44102,1.01074,0.98197,0.94267,0.97157,0.70218,1.07267,0.4171,1.02722,0.0003268,0.0003268,0.0003268
36,7821.62,1.00509,0.45294,1.01025,0.97975,0.94768,0.97206,0.69659,1.07736,0.41442,1.02801,0.000307,0.000307,0.000307
