epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,221.712,1.26548,0.02334,1.14652,0.91203,0.81412,0.88057,0.5657,1.21165,0.01827,1.12147,0.0670747,0.000332579,0.000332579
2,425.045,1.23168,0.01718,1.11632,0.91197,0.84237,0.8902,0.58356,1.19745,0.01571,1.11952,0.0340681,0.00065932,0.00065932
3,634.323,1.20795,0.01605,1.11058,0.91917,0.87563,0.91272,0.61565,1.17223,0.01431,1.09423,0.00105488,0.000979461,0.000979461
4,838.756,1.19476,0.01535,1.1007,0.91188,0.86241,0.91296,0.61679,1.19074,0.01544,1.1102,0.0009703,0.0009703,0.0009703
5,1047.29,1.16963,0.01448,1.08566,0.92551,0.88875,0.909,0.59517,1.1689,0.01516,1.10637,0.0009604,0.0009604,0.0009604
6,1255.91,1.15267,0.01388,1.07482,0.96192,0.88621,0.9389,0.63398,1.16035,0.01402,1.09295,0.0009505,0.0009505,0.0009505
7,1460.17,1.15053,0.01354,1.07285,0.93774,0.87829,0.92796,0.63794,1.14337,0.01229,1.07121,0.0009406,0.0009406,0.0009406
8,1662.96,1.1303,0.01329,1.06666,0.91553,0.88884,0.92775,0.62995,1.1587,0.01276,1.07691,0.0009307,0.0009307,0.0009307
9,1863.95,1.1358,0.01343,1.06553,0.96111,0.89248,0.94188,0.64843,1.12429,0.01197,1.06633,0.0009208,0.0009208,0.0009208
10,2065.01,1.12434,0.01299,1.06001,0.96035,0.89066,0.94418,0.65402,1.1308,0.01185,1.06726,0.0009109,0.0009109,0.0009109
11,2265.55,1.11638,0.01279,1.05313,0.95703,0.90387,0.94704,0.65162,1.12741,0.01137,1.05578,0.000901,0.000901,0.000901
12,2466.19,1.11146,0.01262,1.0524,0.96599,0.90569,0.95036,0.66001,1.10723,0.01134,1.05694,0.0008911,0.0008911,0.0008911
13,2667.36,1.11245,0.01252,1.05426,0.97022,0.90533,0.94789,0.65057,1.13521,0.0113,1.06557,0.0008812,0.0008812,0.0008812
14,2868.87,1.09811,0.01223,1.04915,0.94759,0.90114,0.93439,0.64992,1.1177,0.01145,1.05265,0.0008713,0.0008713,0.0008713
15,3069.8,1.1094,0.01235,1.05414,0.96244,0.91526,0.95308,0.66928,1.10555,0.01102,1.04528,0.0008614,0.0008614,0.0008614
16,3270.14,1.08356,0.01193,1.03774,0.94966,0.90249,0.94397,0.66386,1.09672,0.01115,1.051,0.0008515,0.0008515,0.0008515
17,3470.26,1.07757,0.01182,1.03866,0.95763,0.90607,0.95076,0.65843,1.12218,0.01076,1.05423,0.0008416,0.0008416,0.0008416
18,3669.84,1.08428,0.01195,1.04406,0.95523,0.90396,0.94833,0.6605,1.11411,0.0109,1.05701,0.0008317,0.0008317,0.0008317
19,3869.22,1.08585,0.01187,1.04111,0.96398,0.89841,0.9488,0.65855,1.11149,0.011,1.05483,0.0008218,0.0008218,0.0008218
20,4069.75,1.07209,0.01159,1.03797,0.96373,0.90802,0.95065,0.65847,1.09854,0.01141,1.05357,0.0008119,0.0008119,0.0008119
21,4270.14,1.07255,0.01171,1.03859,0.94128,0.9055,0.9479,0.65736,1.11552,0.01108,1.051,0.000802,0.000802,0.000802
22,4470.61,1.0727,0.0115,1.03325,0.97055,0.90205,0.9549,0.66633,1.10557,0.01067,1.04574,0.0007921,0.0007921,0.0007921
23,4670.39,1.06746,0.01158,1.03223,0.97075,0.91617,0.9572,0.66359,1.1057,0.01018,1.04645,0.0007822,0.0007822,0.0007822
24,4869.85,1.04973,0.01135,1.02792,0.96776,0.90934,0.95182,0.67064,1.10374,0.01033,1.05303,0.0007723,0.0007723,0.0007723
25,5069.11,1.06472,0.01135,1.03184,0.97365,0.90918,0.95148,0.66899,1.09617,0.01021,1.04352,0.0007624,0.0007624,0.0007624
26,5268.62,1.05624,0.01131,1.03074,0.97856,0.91506,0.95928,0.67108,1.09552,0.01055,1.04754,0.0007525,0.0007525,0.0007525
27,5469.07,1.05031,0.01108,1.02587,0.9794,0.90987,0.95912,0.67282,1.09203,0.01001,1.0401,0.0007426,0.0007426,0.0007426
28,5668.06,1.0563,0.01132,1.0267,0.9757,0.91253,0.95656,0.66677,1.09523,0.01036,1.04442,0.0007327,0.0007327,0.0007327
29,5867.53,1.04418,0.01101,1.02727,0.95947,0.91662,0.9563,0.67126,1.08589,0.01025,1.04204,0.0007228,0.0007228,0.0007228
30,6066.89,1.05018,0.01124,1.02635,0.9668,0.91553,0.95518,0.67451,1.08878,0.00992,1.03926,0.0007129,0.0007129,0.0007129
31,6266.18,1.02639,0.01076,1.01436,0.97554,0.90865,0.95448,0.67471,1.08913,0.00975,1.03576,0.000703,0.000703,0.000703
32,6465.8,1.03089,0.01089,1.01433,0.96817,0.91454,0.95199,0.66978,1.08202,0.01022,1.03939,0.0006931,0.0006931,0.0006931
33,6664.81,1.04003,0.01086,1.01986,0.9666,0.91663,0.95199,0.6631,1.10583,0.01032,1.04308,0.0006832,0.0006832,0.0006832
34,6864.15,1.03093,0.01082,1.01945,0.95644,0.92037,0.95353,0.66554,1.08693,0.01017,1.04099,0.0006733,0.0006733,0.0006733
35,7064.79,1.02913,0.01082,1.01884,0.97346,0.91916,0.95724,0.68162,1.07578,0.00953,1.03159,0.0006634,0.0006634,0.0006634
36,7263.57,1.03265,0.01103,1.02014,0.95874,0.91845,0.95462,0.67022,1.08799,0.00992,1.03523,0.0006535,0.0006535,0.0006535
37,7463.44,1.02874,0.0107,1.01522,0.97444,0.91207,0.95623,0.67628,1.09468,0.00957,1.03708,0.0006436,0.0006436,0.0006436
