epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.328,1.18095,0.06187,1.03946,0.74737,0.71161,0.74727,0.41264,1.1827,0.04592,1.00418,0.0700679,0.00332579,0.00332579
2,443.952,1.23315,0.03722,1.04048,0.91823,0.81822,0.89424,0.5475,1.19429,0.03711,1.05768,0.0400019,0.0065932,0.0065932
3,674.464,1.264,0.03045,1.10032,0.87798,0.81367,0.87573,0.5586,1.26697,0.03297,1.17056,0.00987002,0.00979461,0.00979461
4,904.806,1.26268,0.0265,1.12616,0.88606,0.84675,0.90051,0.57937,1.2027,0.03044,1.14764,0.009703,0.009703,0.009703
5,1137.1,1.22585,0.02325,1.1118,0.93332,0.86086,0.92116,0.59867,1.17059,0.02285,1.1066,0.009604,0.009604,0.009604
6,1365.56,1.2004,0.021,1.09893,0.89723,0.87198,0.90201,0.5743,1.17626,0.0211,1.10876,0.009505,0.009505,0.009505
7,1595.89,1.19235,0.01949,1.09042,0.89113,0.88005,0.88965,0.57697,1.16778,0.02077,1.09627,0.009406,0.009406,0.009406
8,1826.08,1.16936,0.01817,1.08011,0.94116,0.89066,0.92913,0.60635,1.14416,0.01809,1.0857,0.009307,0.009307,0.009307
9,2060.26,1.16558,0.0177,1.07416,0.93599,0.89704,0.92556,0.61903,1.14123,0.01662,1.07645,0.009208,0.009208,0.009208
10,2286.7,1.1566,0.01696,1.06743,0.95201,0.89481,0.93432,0.62902,1.13355,0.01586,1.06633,0.009109,0.009109,0.009109
11,2501.53,1.14307,0.01638,1.06078,0.96458,0.89248,0.93977,0.63807,1.11781,0.01471,1.06222,0.00901,0.00901,0.00901
12,2714.31,1.13336,0.01586,1.0567,0.96699,0.89795,0.94311,0.6286,1.11712,0.01455,1.06666,0.008911,0.008911,0.008911
13,2940.98,1.13768,0.0155,1.0582,0.95819,0.89339,0.94575,0.64003,1.12869,0.01425,1.06529,0.008812,0.008812,0.008812
14,3164.56,1.12514,0.01514,1.05213,0.9442,0.90569,0.94094,0.62917,1.10991,0.01472,1.05508,0.008713,0.008713,0.008713
15,3387.52,1.1265,0.01486,1.05372,0.96767,0.90008,0.94622,0.65028,1.10995,0.01326,1.05416,0.008614,0.008614,0.008614
16,3604.66,1.11072,0.01437,1.04082,0.93942,0.91298,0.92906,0.62172,1.10034,0.01359,1.0481,0.008515,0.008515,0.008515
17,3821.93,1.10128,0.01418,1.04239,0.94357,0.90656,0.93953,0.64276,1.10823,0.01321,1.05541,0.008416,0.008416,0.008416
18,4044.02,1.10137,0.01405,1.04294,0.96383,0.90934,0.95159,0.6457,1.11183,0.01291,1.06059,0.008317,0.008317,0.008317
19,4258.37,1.10353,0.01386,1.04093,0.96116,0.90193,0.94643,0.6469,1.09658,0.01272,1.04999,0.008218,0.008218,0.008218
20,4476.53,1.09048,0.01355,1.04001,0.96649,0.91977,0.95425,0.65186,1.09676,0.01201,1.05188,0.008119,0.008119,0.008119
21,4696.41,1.0931,0.01344,1.03765,0.97299,0.91344,0.95575,0.65598,1.10538,0.01191,1.04729,0.00802,0.00802,0.00802
22,4916.71,1.08711,0.01319,1.03148,0.9666,0.90934,0.94972,0.64708,1.11189,0.01187,1.04571,0.007921,0.007921,0.007921
23,5131.86,1.08233,0.01323,1.02876,0.97817,0.91253,0.95522,0.66034,1.09564,0.01166,1.04389,0.007822,0.007822,0.007822
24,5351.02,1.07325,0.01292,1.02867,0.96828,0.91025,0.95183,0.66039,1.09169,0.01155,1.04138,0.007723,0.007723,0.007723
25,5570.71,1.08028,0.01284,1.03014,0.97301,0.918,0.95222,0.65811,1.0996,0.01145,1.04197,0.007624,0.007624,0.007624
26,5790.33,1.07105,0.01276,1.02946,0.97391,0.91526,0.95683,0.66522,1.10291,0.01144,1.04174,0.007525,0.007525,0.007525
27,6006.84,1.06679,0.01256,1.02373,0.97494,0.90391,0.95204,0.6621,1.09398,0.01127,1.03617,0.007426,0.007426,0.007426
28,6226.35,1.0712,0.01243,1.02433,0.98039,0.90342,0.95412,0.668,1.09148,0.01101,1.04057,0.007327,0.007327,0.007327
29,6446.55,1.05923,0.0122,1.02428,0.9694,0.90939,0.95345,0.66512,1.08871,0.01095,1.03818,0.007228,0.007228,0.007228
30,6669.98,1.06152,0.01239,1.02497,0.97127,0.9086,0.94863,0.65958,1.08796,0.01133,1.03571,0.007129,0.007129,0.007129
31,6894.41,1.04259,0.01193,1.01431,0.97559,0.9139,0.95614,0.67151,1.08731,0.01063,1.03597,0.00703,0.00703,0.00703
32,7131.53,1.04314,0.01197,1.01248,0.96915,0.916,0.95434,0.66627,1.08326,0.01076,1.03529,0.006931,0.006931,0.006931
33,7359.11,1.05344,0.01201,1.01754,0.96847,0.91435,0.95602,0.65691,1.08816,0.01077,1.0345,0.006832,0.006832,0.006832
34,7582.33,1.04358,0.01177,1.01692,0.95468,0.92528,0.9555,0.66559,1.09119,0.01059,1.03206,0.006733,0.006733,0.006733
35,7804.87,1.04445,0.01183,1.01528,0.96872,0.91699,0.95463,0.66215,1.08112,0.01074,1.02905,0.006634,0.006634,0.006634
36,8023.96,1.04757,0.01192,1.01503,0.96874,0.91526,0.95512,0.6692,1.0855,0.01049,1.03209,0.006535,0.006535,0.006535
37,8242.36,1.04421,0.01172,1.01472,0.9684,0.91298,0.954,0.66695,1.0909,0.01047,1.03275,0.006436,0.006436,0.006436
38,8460.27,1.02983,0.01156,1.00479,0.97145,0.91448,0.95566,0.67128,1.08107,0.01036,1.03232,0.006337,0.006337,0.006337
39,8680.01,1.04397,0.01169,1.01503,0.97659,0.91213,0.95569,0.66385,1.08624,0.01048,1.03235,0.006238,0.006238,0.006238
40,8903.46,1.02715,0.0115,1.00634,0.98118,0.91572,0.95619,0.66657,1.08874,0.01025,1.03145,0.006139,0.006139,0.006139
41,9123.61,1.0379,0.0114,1.01067,0.97347,0.91936,0.9556,0.67233,1.07678,0.01005,1.02918,0.00604,0.00604,0.00604
42,9336.02,1.0273,0.0114,1.00724,0.98046,0.91443,0.95639,0.67277,1.08219,0.0101,1.02799,0.005941,0.005941,0.005941
43,9543.81,1.02324,0.01138,1.0036,0.97436,0.91755,0.95306,0.66615,1.07819,0.01009,1.02987,0.005842,0.005842,0.005842
44,9770.17,1.01554,0.01122,1.00427,0.97382,0.9151,0.95506,0.66875,1.08467,0.00994,1.03263,0.005743,0.005743,0.005743
45,9996.49,1.0211,0.0112,1.00587,0.97154,0.91771,0.95471,0.66998,1.07481,0.0099,1.02588,0.005644,0.005644,0.005644
46,10224.4,1.01381,0.01106,1.00053,0.98328,0.91298,0.95851,0.67293,1.08273,0.00988,1.02565,0.005545,0.005545,0.005545
47,10452.6,1.01592,0.01105,1.00355,0.96704,0.92226,0.95819,0.67786,1.07357,0.0097,1.02588,0.005446,0.005446,0.005446
48,10678.7,1.00487,0.01101,1.00047,0.96842,0.92216,0.95805,0.67946,1.07197,0.00974,1.02046,0.005347,0.005347,0.005347
49,10904.2,1.00554,0.01098,1.00154,0.97631,0.91979,0.95695,0.67395,1.07132,0.0097,1.02608,0.005248,0.005248,0.005248
50,11117.6,1.00319,0.01095,1.00223,0.97544,0.92118,0.95814,0.67883,1.07014,0.00968,1.02449,0.005149,0.005149,0.005149
51,11332.4,0.997,0.01094,0.99556,0.98148,0.91298,0.95776,0.68272,1.06649,0.0096,1.02233,0.00505,0.00505,0.00505
52,11548.2,1.00493,0.01089,0.99953,0.98124,0.91663,0.95758,0.67782,1.07893,0.00957,1.02707,0.004951,0.004951,0.004951
53,11759.6,0.99751,0.0107,0.99697,0.98058,0.92007,0.95934,0.67844,1.07369,0.00963,1.02258,0.004852,0.004852,0.004852
54,11967.2,0.99904,0.01072,0.99415,0.96736,0.93152,0.96064,0.67765,1.07778,0.00955,1.02613,0.004753,0.004753,0.004753
55,12185.6,0.99528,0.01069,0.9972,0.97752,0.9221,0.95855,0.68056,1.0723,0.00957,1.02449,0.004654,0.004654,0.004654
56,12401.9,0.99012,0.01067,0.9956,0.97821,0.92054,0.95939,0.67601,1.07279,0.0096,1.02463,0.004555,0.004555,0.004555
57,12617.6,0.98941,0.01069,0.99343,0.97472,0.91982,0.95608,0.67765,1.07454,0.0095,1.02378,0.004456,0.004456,0.004456
58,12837,0.9867,0.01065,0.99223,0.97777,0.92176,0.95693,0.675,1.0735,0.00951,1.02498,0.004357,0.004357,0.004357
59,13055.2,0.9789,0.01057,0.98966,0.97875,0.92308,0.95904,0.67958,1.06803,0.00941,1.02177,0.004258,0.004258,0.004258
60,13271.3,0.9867,0.01043,0.99072,0.97412,0.92616,0.96061,0.68167,1.07225,0.00942,1.02263,0.004159,0.004159,0.004159
61,13485.6,0.9782,0.01042,0.99034,0.9821,0.91845,0.95973,0.68378,1.07368,0.00927,1.02071,0.00406,0.00406,0.00406
62,13699.2,0.98235,0.01044,0.98762,0.96533,0.93121,0.95939,0.68237,1.06918,0.00927,1.02127,0.003961,0.003961,0.003961
63,13916.9,0.97692,0.01035,0.99027,0.98027,0.91936,0.96152,0.68062,1.07021,0.00925,1.02114,0.003862,0.003862,0.003862
64,14132,0.97291,0.01032,0.98513,0.98338,0.9166,0.95714,0.68056,1.06877,0.00922,1.02138,0.003763,0.003763,0.003763
65,14347.1,0.96814,0.01026,0.9851,0.97644,0.92501,0.95935,0.68163,1.07233,0.00914,1.02183,0.003664,0.003664,0.003664
66,14565.2,0.96096,0.01017,0.9801,0.97686,0.92306,0.959,0.6821,1.06813,0.00922,1.01945,0.003565,0.003565,0.003565
67,14781.6,0.959,0.01015,0.98462,0.97955,0.92574,0.96076,0.6818,1.07273,0.00921,1.02134,0.003466,0.003466,0.003466
68,14999.1,0.95305,0.01008,0.98093,0.97611,0.92893,0.95984,0.68263,1.07011,0.00913,1.01997,0.003367,0.003367,0.003367
69,15216.4,0.95063,0.01001,0.97864,0.97646,0.92601,0.95847,0.68149,1.0714,0.00913,1.02135,0.003268,0.003268,0.003268
70,15430.9,0.95826,0.01005,0.98034,0.98208,0.92377,0.9597,0.68088,1.07656,0.00905,1.02413,0.003169,0.003169,0.003169
71,15646.1,0.9467,0.00998,0.9795,0.98139,0.91982,0.9602,0.68039,1.07686,0.0091,1.02352,0.00307,0.00307,0.00307
